
"Àrea Bàsica de Salut";"Taxes estandarditzades per edat i sexe per 100.000 habitants"
"Cassà De La Selva";75.9
"Celrà";67.1
"Centelles";68.6
"La Cerdanya";64
"Cerdanyola Del Vallès 1";148.3
"Cerdanyola Del Vallès 2";161.7
"Cervera";112.9
"Constantí";31.1
"Cornellà De Llobregat 1";89.7
"Cornellà De Llobregat 2";38.1
"Cornellà De Llobregat 3";107
"Cornellà De Llobregat 4";32.4
"Cornudella De Montsant";0.0
"Deltebre";0.0
"L'Escala";0.0
"Esparraguera";76.5
"Esplugues De Llobregat 1";101.6
"Esplugues De Llobregat 2";76.3
"Falset";33.7
"Figueres";12.4
"Flix";0.0
"La Garriga";108.3
"Gavà 1";143.4
"Gavà 2";171.3
"Girona 1";159.6
"Girona 2";116.9
"Girona 3";123.9
"Girona 4";156.2
"Baix Berguedà";41
"La Granadella";179.8
"Alt Berguedà";27.6
"Anoia Rural";192.4
"La Jonquera";0.0
"Llançà";6.9
"Lleida 1 Centre Històric-Rambla Ferran";90
"Lleida 2 Primer De Maig";56.7
"Lleida 3 Eixample";155.5
"Lleida 4 Balàfia-Pardinyes";67.9
"Lleida 5 Cappont";106.9
"Lleida 6 Bordeta-Magraners";75
"Lleida Rural 1-Nord";68.6
"Lloret De Mar";51.2
"Malgrat De Mar";41.6
"Manlleu";120.1
"Manresa 1";84.9
"Manresa 2";96.7
"Manresa 3";123.6
"Manresa 4";89.7
"Martorell";67.7
"Martorelles";141.8
"Mataró 1";128.9
"Mataró 2";67.4
"Mataró 3";48.9
"Mataró 4";115.2
"Mataró 5";97.4
"Mataró 6";69.8
"Mataró 7";100.1
"Moià";45.8
"Molins De Rei";56.5
"Pla D'Urgell";46.6
"Montblanc";22.6
"Mont-Roig Del Camp";7.3
"Montornès / Montmeló";123.1
"Móra La Nova - Móra D'Ebre";10.7
"El Morell";0.0
"Navàs/Balsareny";42.4
"Olesa De Montserrat";99.5
"Alt Urgell-Sud";47.9
"Olot";108.6
"Palafrugell";3.5
"Palamós";9.3
"Pallars Sobirà";94.1
"Parets Del Vallès";170.5
"Penedès Rural";25.4
"Peralada";7
"L'Ametlla De Mar - El Perelló";0.0
"La Pobla De Segur";344.4
"Alta Ribagorça";123
"Ponts";31.5
"El Prat De Llobregat 1";190.9
"El Prat De Llobregat 2";218
"El Prat De Llobregat 3";163.2
"Lluçanès";53
"Premià De Mar";104.4
"Ripoll-Sant Joan De Les Abadesses";15
"Riudoms";15.9
"Roses";11.8
"Sabadell 1A";208.9
"Sabadell 1B";189
"Sabadell 2";173
"Sabadell 3A";207.7
"Sabadell 3B";229.1
"Sabadell 5";214.3
"Sabadell 6";227.1
"Sabadell 7";152.5
"Salt";87.9
"Sallent";89.9
"Sant Andreu De La Barca";92.1
"Sant Boi De Llobregat 1";61.5
"Sant Boi De Llobregat 2";60.3
"Sant Boi De Llobregat 3";22.7
"Sant Boi De Llobregat 4";45.9
"Sant Carles De La Ràpita";13.2
"Sant Celoni";61.4
"Sant Feliu De Guíxols";12.6
"Sant Feliu De Llobregat 1";18
"Sant Feliu De Llobregat 2";80.4
"Navarcles - Sant Fruitós De Bages";80.5
"Sant Hipòlit De Voltregà";142.4
"Sant Joan Despí 1";47.5
"Sant Joan Despí 2";86.3
"Sant Joan De Vilatorrada";78.2
"Sant Just Desvern";122.2
"Sant Quirze De Besora";121.4
"Sant Sadurní D'Anoia";89.2
"Sant Vicenç De Castellet";57.7
"Santa Coloma De Farners";57.2
"Santa Coloma De Gramenet 1";77.1
"Santa Coloma De Gramenet 2";143.7
"Santa Coloma De Gramenet 3";145.4
"Santa Coloma De Gramenet 4";149.6
"Santa Coloma De Gramenet 5";116.6
"Santa Coloma De Queralt";38.6
"Santa Margarida De Montbui";294.5
"Santa Perpètua De La Mogoda";158.1
"Sarrià De Ter";116.1
"Seròs";37.9
"La Seu D'Urgell";79.9
"Sils/Vidreres/Maçanet De La Selva";28.5
"Sitges";58.8
"El Solsonès";38.9
"Súria";68.4
"Santa Eugènia De Berga";143.1
"Tarragona 1";0.4
"Tarragona 2";7.2
"Tarragona 3";30.9
"Tarragona 4";12.4
"Tarragona 5";7.9
"Tarragona 6";44.8
"Tàrrega";77.5
"Terra Alta";6.3
"Terrassa A";119
"Terrassa B";130.7
"Terrassa C";70.7
"Terrassa D";91.8
"Terrassa E";114.4
"Terrassa F";113.3
"Tona";43.9
"Vall Del Ges";66.9
"Tortosa 1 - Est";65.2
"Tortosa 2 - Oest";46.2
"Torredembarra";22.4
"Torroella De Montgrí";0.0
"Tremp";82
"Ulldecona";16.7
"Vallirana";85.4
"Alt Camp Est";5.9
"Valls Urbà";16.7
"Viladecans 1";173.4
"Viladecans 2";230.3
"Vilafant";30.5
"Vilanova Del Camí";231.3
"Vilassar De Mar";70.2
"Badalona 1";164.1
"Badalona 2";177.3
"Badalona 3";163.9
"Badalona 4";109.3
"Badalona 5";173.8
"Badalona 6";148.8
"Badalona 8";136.7
"Badalona 9";182.2
"Badalona 10";172.8
"Badalona 11";194.8
"Badalona 12";235.4
"Granollers 1 -Oest";59.1
"Granollers 2 - Nord";71.5
"Granollers 3 - Centre Est";106.2
"Granollers 4 - Sud";153.6
"L'Hospitalet De Llobregat 1 - Centre";189.2
"L'Hospitalet De Llobregat 2 -S.Josep";225.2
"L'Hospitalet De Llobregat 3 - Collblanc";97.9
"L'Hospitalet De Llobregat 4 Torrassa";114.1
"L'Hospitalet De Llobregat 5-S.Eulàlia N.";195.8
"L'Hospitalet De Llobregat 6-S.Eulàlia S.";183.1
"L'Hospitalet De Llobregat 7-Florida N.";99.7
"L'Hospitalet De Llobregat 8-Florida S.";66.7
"L'Hospitalet De Llobregat 9-Pubilla C.";88.3
"L'Hospitalet De Llobregat 10 - C.Serra";60.6
"L'Hospitalet De Llobregat 11 - Gornal";113.8
"L'Hospitalet De Llobregat 12 (Bellvitge)";165.2
"La Llagosta";139.4
"Reus 1";10.9
"Reus 2";25.5
"Reus 3";30.3
"Reus 4";19.9
"Reus 5";7.9
"Rubí 1";69.2
"Rubí 2";94.3
"Sant Adrià Del Besòs 1";225.2
"Sant Adrià Del Besòs 2";66.1
"Baix Penedès - Interior";47.9
"Vall Del Tenes";114.2
"Vilanova I La Geltrú 1";110.7
"Vilanova I La Geltrú 2";52.5
"Montgat";115.6
"Barberà Del Vallès";108.5
"Ciutat Badia";160
"Vandellòs I L'Hospitalet De L'Infant";0.0
"Pineda";41.6
"Barcelona 7-G";261.1
"Barcelona 8-I";228.3
"L'Aldea - Camarles - L'Ampolla";15.9
"Lleida Rural 2-Sud";75.8
"Breda - Hostalric";59.4
"Barcelona 10-J";110.1
"Alt Camp Oest";0.0
"Almacelles";13.5
"Sant Andreu De Llavaneres";113.5
"Tordera";21.7
"Capellades";198.1
"Piera";145.3
"Salou";14
"Vila-Seca";6.4
"Badalona 7A";201.2
"Badalona 7B";104.8
"Ribes De Freser-Campdevànol";0.0
"Sabadell 4-A";190.7
"Sabadell 4-B";149.8
"Sant Joan Les Fonts";105.9
"Vall D'En Bas";78.1
"Mollet Del Vallès-Est";192
"Mollet Del Vallès-2 Oest";267.1
"Vic-1 Nord";213.5
"Vic-2 Sud";129.1
"Tarragona-7 (Sant Salvador)";31.3
"Vilassar De Dalt";139.9
"La Selva Del Camp";28.5
"La Roca Del Vallès";144.3
"Terrassa-G";88.2
"Calafell";29.2
"Barcelona 6-E";185.3
"Cubelles-Cunit";66.9
"Martorell Rural";75.5
"El Masnou-Alella";160
"Ocata-Teià";72.9
"Sant Quirze Del Vallès";237.2
"Tarragona-8";30.8
"Castelldefels-1";101.9
"Castelldefels-2";87.6
"Pallejà";113.2
"Santa Coloma De Gramenet 6";87.6
"Corbera De Llobregat";37.3
"Abrera";66.9
"Igualada-1";394.5
"Igualada-2";451.2
"Begues";125
"Sant Vicenç Dels Horts-1";62.9
"Sant Vicenç Dels Horts-2";67.9
"Alt Mogent";68.9
"Roda De Ter";114.8
"Rubí -3";75.9
"Lleida 7 Onze De Setembre";106.2
"Vilanova I La Geltrú 3";34.1
"Montcada I Reixac - 1";174.4
"Montcada I Reixac - 2";174.4
"Barcelona 3-H";112.1
"Cerdanyola-Ripollet";160.6
"Barcelona 8J";201.4
"Ripollet-1";118
"Ripollet-2";187.5
"Sant Cugat Del Vallès-1";95.1
"Sant Cugat Del Vallès-2";122
"Sant Cugat Del Vallès-3";127.3
"Palau-Solità I Plegamans";87.4
"Polinyà-Sentmenat";102.6
"Ribes-Olivella";46.9
"Roquetes-Canyelles";48.2
"Barcelona 9-H";203.5
"Barcelona 9-I";176.2
"Vilafranca Del Penedès 1";60.9
"Vilafranca Del Penedès 2";48.7
"Castellbisbal";94.3
"Barcelona - 3I";202.4
"Viladecans 3";212.3
"Barcelona - 8K";215.3
"Barcelona - 8L";247.2
"Agramunt";62.6
"Alcarràs";79.6
"Alfarràs/Almenar";76.5
"Amposta";32.8
"Anglès";32.1
